fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed
no   	2015	28	59	0	8.06	3.47	01	06	19
no   	2010	30	61	1.3	8.17	4.03	02	06	13
no   	2009	26	83	13.1	8.08	3.59	03	06	22
no   	2017	25	87	2.5	7.18	2.42	04	06	15
no   	2014	28	77	0	14.98	4.63	05	06	18
yes   	2008	30	67	0	22.71	7.97	06	06	14
yes   	2013	32	52	0	30.98	11.86	07	06	14
yes   	2009	29	72	0	38.66	14.31	08	06	17
no   	2014	26	89	0.2	39.62	10.76	09	06	15
no   	2007	28	77	0	46.44	13.14	10	06	13
yes   	2015	30	67	0	54.44	16.1	11	06	15
yes   	2009	26	81	0	61.8	18.33	12	06	19
no   	2009	28	82	1.2	17.68	7.44	13	06	22
no   	2011	31	80	0.5	7.98	4.53	14	06	21
no   	2016	29	78	3.1	7.78	3.31	15	06	17
no   	2010	30	88	0.7	7.93	2.92	16	06	13
no   	2016	30	89	0.6	8.57	1.71	17	06	17
no   	2011	30	78	0.3	8.31	2.44	18	06	14
no   	2015	30	56	0.1	16.9	5.94	19	06	16
no   	2008	29	80	0.4	27.73	5.38	20	06	16
yes   	2012	29	77	0	31.63	9.19	21	06	14
no   	2010	30	69	0.1	39.89	10.52	22	06	18
yes   	2017	32	64	0.1	48.67	12.32	23	06	20
yes   	2007	32	66	0	56.41	15.86	24	06	19
yes   	2013	32	63	0	64.44	18.59	25	06	17
yes   	2011	30	62	0	72.51	22.26	26	06	18
yes   	2013	33	54	0	80.94	26.02	27	06	18
yes   	2009	33	55	0	88.58	30.49	28	06	14
no   	2012	31	46	0.3	84.82	24.79	29	06	14
yes   	2015	32	50	0	93.22	29.17	30	06	14
no   	2011	28	66	1	9.52	3.81	01	07	21
no   	2017	28	77	1.2	9.06	3.25	02	07	21
no   	2017	31	76	0.7	10.05	3.61	03	07	21
no   	2015	33	78	0	19.46	6.4	04	07	18
yes   	2016	34	64	0	28.2	9.1	05	07	15
yes   	2017	32	61	0	37.33	13.06	06	07	15
no   	2008	35	65	0.2	41.16	12.76	07	07	18
yes   	2007	33	69	0	50.56	15.43	08	07	20
no   	2015	32	70	1.4	10.05	8.31	09	07	16
no   	2007	33	67	0.7	10.23	6	10	07	13
no   	2012	34	74	0	18.95	8.94	11	07	15
no   	2013	32	73	0.1	27.82	10.17	12	07	15
no   	2008	35	79	0	38.08	12.44	13	07	16
no   	2015	34	62	0.6	23.89	8.59	14	07	14
no   	2012	30	81	0.4	17.22	6.27	15	07	19
no   	2016	28	77	0	25.9	8.83	16	07	23
yes   	2008	30	70	0	34.76	11.37	17	07	16
yes   	2011	36	54	0	67.91	22.61	10	08	14
yes   	2017	35	63	0	77.23	25.67	11	08	15
no   	2007	35	51	0.3	75.8	21.6	12	08	15
yes   	2007	35	62	0	86	25.09	13	08	15
yes   	2017	33	64	0	94.81	27.97	14	08	16
yes   	2011	35	56	0.3	92.76	22.36	15	08	13
yes   	2011	35	59	0.3	91.16	18.28	16	08	20
yes   	2010	36	52	0	101.16	23.44	17	08	20
yes   	2012	36	52	0	111.2	27.75	18	08	20
yes   	2007	35	60	0	121.2	31.35	19	08	21
yes   	2013	36	67	0	131.2	34.92	20	08	19
